occurrenceID,individualCount,sex,lifeStage,behavior,occurrenceStatus,eventID,identifiedBy,dateIdentified,identificationRemarks,scientificName,kingdom
778315fe_1,2,female,adult,,present,778315fe,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
f5707f70,5,,subadult,,present,45ee3031,Danny Van der beeck,2020-08-18T21:09:30Z,identificationRemarks,Anas platyrhynchos,Animalia
b9da91c2_1,3,,subadult,,present,b9da91c2,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
1b2d3e73_1,3,,subadult,,present,1b2d3e73,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
da6db024_1,3,,subadult,,present,da6db024,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
4a4c3a2e_1,3,,subadult,,present,4a4c3a2e,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
59b38bc6_1,3,,subadult,,present,59b38bc6,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
108f94c9_1,4,,subadult,,present,108f94c9,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
cc50edaa_1,4,,subadult,,present,cc50edaa,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
cb2cf96f_1,4,,subadult,,present,cb2cf96f,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
0966e552_1,4,,subadult,,present,0966e552,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b6ff482b_1,4,,subadult,,present,b6ff482b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
89e33664_1,2,,subadult,,present,89e33664,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
bba70d2c_1,2,,subadult,,present,bba70d2c,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
3cd5626b_1,2,,subadult,,present,3cd5626b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b3c59481_1,2,,subadult,,present,b3c59481,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
f47cdfd8_1,2,,subadult,,present,f47cdfd8,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
559ec9a8_1,3,,subadult,,present,559ec9a8,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
48a94186_1,3,,subadult,,present,48a94186,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
47e7bc9f_1,3,,subadult,,present,47e7bc9f,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
2adb0dde_1,3,,subadult,,present,2adb0dde,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
80ba0e0b_1,3,,subadult,,present,80ba0e0b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
27c6cb3d_1,3,,subadult,,present,27c6cb3d,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
d32c67ed_1,3,,subadult,,present,d32c67ed,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
be5d44fd_1,3,,subadult,,present,be5d44fd,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
08b56231_1,3,,subadult,,present,08b56231,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
ccb03b7e_1,3,,subadult,,present,ccb03b7e,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
fbf8292b_1,3,,subadult,,present,fbf8292b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
5b71377d_1,2,,subadult,,present,5b71377d,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
6c4db631_1,2,,subadult,,present,6c4db631,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
a6a07d02_1,2,,subadult,,present,a6a07d02,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
73efdfb6_1,2,,subadult,,present,73efdfb6,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
ccfa9680,3,,subadult,,present,02ae9f43,Danny Van der beeck,2020-08-18T21:10:06Z,identificationRemarks,Anas platyrhynchos,Animalia
dbe27f82_1,3,,subadult,,present,dbe27f82,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
9a14a118_1,3,,subadult,,present,9a14a118,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
4b414100_1,3,,subadult,,present,4b414100,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
fa90a9a6_1,3,,subadult,,present,fa90a9a6,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
1564e7e4_1,3,,subadult,,present,1564e7e4,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
6578077a_1,3,,subadult,,present,6578077a,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
eb0801ce_1,2,,subadult,,present,eb0801ce,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
ef8b850b_1,2,,subadult,,present,ef8b850b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
da457b46_1,2,,subadult,,present,da457b46,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
5eaf82c8_1,2,,subadult,,present,5eaf82c8,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
1a32d481,3,,subadult,,present,8865647b,Danny Van der beeck,2020-08-18T21:10:40Z,identificationRemarks,Anas platyrhynchos,Animalia
a961b9e3_1,3,,subadult,,present,a961b9e3,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
1175ff4d_1,3,,subadult,,present,1175ff4d,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
87867967_1,3,,subadult,,present,87867967,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
a413d1d3_1,3,,subadult,,present,a413d1d3,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
ed688d21_1,3,,subadult,,present,ed688d21,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
cc337594_1,3,,subadult,,present,cc337594,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
3bf07ad2_1,3,,subadult,,present,3bf07ad2,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
bdf0a9e8_1,3,,subadult,,present,bdf0a9e8,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
7c5e4e07_1,2,,subadult,,present,7c5e4e07,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
745a7960_1,2,,subadult,,present,745a7960,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
c60eb90d,1,,subadult,,present,4c03e12a,Danny Van der beeck,2020-08-18T21:11:23Z,identificationRemarks,Anas strepera,Animalia
d6c62df3_1,1,,subadult,,present,d6c62df3,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
64e03524_1,1,,subadult,,present,64e03524,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
b6de2aaf_1,1,,subadult,,present,b6de2aaf,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
6180f232_1,1,,subadult,,present,6180f232,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
6dc44acb_1,1,,subadult,,present,6dc44acb,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
e87af601_1,1,,subadult,,present,e87af601,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
c883a5c6,1,,,,present,38c4c1c6,Peter Desmet,2023-02-06T11:22:19Z,identificationRemarks,Aves,Animalia
e9ccfa09_1,1,,,,present,e9ccfa09,Peter Desmet,,identificationRemarks,Aves,Animalia
b5781dba_1,1,,,,present,b5781dba,Peter Desmet,,identificationRemarks,Aves,Animalia
459dddf7_1,1,,,,present,459dddf7,Peter Desmet,,identificationRemarks,Aves,Animalia
ecf09d2b_1,1,,,,present,ecf09d2b,Peter Desmet,,identificationRemarks,Aves,Animalia
36c14ad3_1,1,,,,present,36c14ad3,Peter Desmet,,identificationRemarks,Aves,Animalia
e61ffa75_1,1,,,,present,e61ffa75,Peter Desmet,,identificationRemarks,Aves,Animalia
76490dff_1,1,,,,present,76490dff,Peter Desmet,,identificationRemarks,Aves,Animalia
f28ece39_1,1,,,,present,f28ece39,Peter Desmet,,identificationRemarks,Aves,Animalia
832a486a_1,1,,,,present,832a486a,Peter Desmet,,identificationRemarks,Aves,Animalia
aaf4fd97_1,1,,,,present,aaf4fd97,Peter Desmet,,identificationRemarks,Aves,Animalia
e622b65c,1,,adult,,present,976129e2,Danny Van der beeck,2020-08-11T21:18:45Z,identificationRemarks,Mustela putorius,Animalia
a8848796_1,1,,adult,,present,a8848796,Peter Desmet,,identificationRemarks,Mustela putorius,Animalia
e470918a_1,1,,adult,,present,e470918a,Peter Desmet,,identificationRemarks,Mustela putorius,Animalia
5ff74dc7_1,1,,adult,,present,5ff74dc7,Peter Desmet,,identificationRemarks,Mustela putorius,Animalia
fb662fab,1,,adult,,present,b4b39b00,Danny Van der beeck,2020-08-11T21:19:13Z,identificationRemarks,Mustela putorius,Animalia
91de8c9e_1,1,,adult,,present,91de8c9e,Peter Desmet,,identificationRemarks,Mustela putorius,Animalia
7f0758ac_1,1,,adult,,present,7f0758ac,Peter Desmet,,identificationRemarks,Mustela putorius,Animalia
7fc6cb24_1,1,,adult,,present,7fc6cb24,Peter Desmet,,identificationRemarks,Mustela putorius,Animalia
477b2f9d,1,,adult,,present,75948520,Danny Van der beeck,2020-08-11T21:19:36Z,identificationRemarks,Vulpes vulpes,Animalia
f011d0e6_1,1,,adult,,present,f011d0e6,Peter Desmet,,identificationRemarks,Vulpes vulpes,Animalia
b3374ef1_1,1,,adult,,present,b3374ef1,Peter Desmet,,identificationRemarks,Vulpes vulpes,Animalia
1c601054_1,1,,adult,,present,1c601054,Peter Desmet,,identificationRemarks,Vulpes vulpes,Animalia
b43f1608_1,1,,adult,,present,b43f1608,Peter Desmet,,identificationRemarks,Vulpes vulpes,Animalia
81523d1f_1,1,,adult,,present,81523d1f,Peter Desmet,,identificationRemarks,Vulpes vulpes,Animalia
f4a5ec0f_1,1,,adult,,present,f4a5ec0f,Peter Desmet,,identificationRemarks,Vulpes vulpes,Animalia
dfdc4c48,1,,adult,,present,5be4f4ed,Danny Van der beeck,2020-08-11T21:20:06Z,identificationRemarks,Martes foina,Animalia
e9c1a382_1,1,,adult,,present,e9c1a382,Peter Desmet,,identificationRemarks,Martes foina,Animalia
3e0b2565_1,1,,adult,,present,3e0b2565,Peter Desmet,,identificationRemarks,Martes foina,Animalia
58501b0d_1,1,,adult,,present,58501b0d,Peter Desmet,,identificationRemarks,Martes foina,Animalia
9bbdcb82_1,1,,adult,,present,9bbdcb82,Peter Desmet,,identificationRemarks,Martes foina,Animalia
9a4c6e25_1,1,,adult,,present,9a4c6e25,Peter Desmet,,identificationRemarks,Martes foina,Animalia
eb72150b_1,1,,adult,,present,eb72150b,Peter Desmet,,identificationRemarks,Martes foina,Animalia
9d18218f_1,1,,adult,,present,9d18218f,Peter Desmet,,identificationRemarks,Martes foina,Animalia
22d2744a_1,1,,adult,,present,22d2744a,Peter Desmet,,identificationRemarks,Martes foina,Animalia
b1035c2c_1,1,,adult,,present,b1035c2c,Peter Desmet,,identificationRemarks,Martes foina,Animalia
5549cb29_1,1,,adult,,present,5549cb29,Peter Desmet,,identificationRemarks,Martes foina,Animalia
9e191d10,1,,adult,,present,a60816f2,Danny Van der beeck,2020-08-11T21:20:40Z,identificationRemarks,Mustela putorius,Animalia
66b353fe_1,1,,adult,,present,66b353fe,Peter Desmet,,identificationRemarks,Mustela putorius,Animalia
70e796b3_1,1,,adult,,present,70e796b3,Peter Desmet,,identificationRemarks,Mustela putorius,Animalia
920395a6_1,1,,adult,,present,920395a6,Peter Desmet,,identificationRemarks,Mustela putorius,Animalia
a0431321,1,,,,present,16537357,Peter Desmet,2023-02-02T14:51:18Z,identificationRemarks,Aves,Animalia
fb58a2b9_1,1,,,,present,fb58a2b9,Peter Desmet,,identificationRemarks,Aves,Animalia
cb30a896,1,,,,present,4dcacd8f,Western Europe species model Version 1,2021-07-05T11:43:57Z,identificationRemarks,Ardea,Animalia
0e98b93e_1,1,,,,present,0e98b93e,Western Europe species model Version 1,2021-07-05T11:43:57Z,identificationRemarks,Ardea,Animalia
be8fe0df_1,1,,,,present,be8fe0df,Western Europe species model Version 1,2021-07-05T11:43:57Z,identificationRemarks,Ardea,Animalia
13b58ff5_1,1,,,,present,13b58ff5,Western Europe species model Version 1,2021-07-05T11:43:57Z,identificationRemarks,Ardea,Animalia
d8427514_1,1,,,,present,d8427514,Western Europe species model Version 1,2021-07-05T11:43:57Z,identificationRemarks,Ardea,Animalia
2e2ae3f0_1,1,,,,present,2e2ae3f0,Western Europe species model Version 1,2021-07-05T11:43:57Z,identificationRemarks,Ardea,Animalia
a552145d_1,1,,,,present,a552145d,Western Europe species model Version 1,2021-07-05T11:43:57Z,identificationRemarks,Ardea,Animalia
1bd866b3_1,1,,,,present,1bd866b3,Western Europe species model Version 1,2021-07-05T11:43:57Z,identificationRemarks,Ardea,Animalia
bf610120_1,1,,,,present,bf610120,Western Europe species model Version 1,2021-07-05T11:43:57Z,identificationRemarks,Ardea,Animalia
abcc45d4_1,1,,,,present,abcc45d4,Western Europe species model Version 1,2021-07-05T11:43:57Z,identificationRemarks,Ardea,Animalia
1065da4b_1,1,,,,present,1065da4b,Western Europe species model Version 1,2021-07-05T11:43:57Z,identificationRemarks,Ardea,Animalia
bb027d7e,1,,,,present,7245a2aa,Western Europe species model Version 1,2021-07-05T11:44:15Z,identificationRemarks,Ardea,Animalia
7ab33b3a_1,1,,,,present,7ab33b3a,Western Europe species model Version 1,2021-07-05T11:44:15Z,identificationRemarks,Ardea,Animalia
d9ef08ec_1,1,,,,present,d9ef08ec,Western Europe species model Version 1,2021-07-05T11:44:15Z,identificationRemarks,Ardea,Animalia
aebe5b85_1,1,,,,present,aebe5b85,Western Europe species model Version 1,2021-07-05T11:44:15Z,identificationRemarks,Ardea,Animalia
e638613e_1,1,,,,present,e638613e,Western Europe species model Version 1,2021-07-05T11:44:15Z,identificationRemarks,Ardea,Animalia
c40a4854_1,1,,,,present,c40a4854,Western Europe species model Version 1,2021-07-05T11:44:15Z,identificationRemarks,Ardea,Animalia
fd2f32cc_1,1,,,,present,fd2f32cc,Western Europe species model Version 1,2021-07-05T11:44:15Z,identificationRemarks,Ardea,Animalia
b6a04f58_1,1,,,,present,b6a04f58,Western Europe species model Version 1,2021-07-05T11:44:15Z,identificationRemarks,Ardea,Animalia
9c58aea8_1,1,,,,present,9c58aea8,Western Europe species model Version 1,2021-07-05T11:44:15Z,identificationRemarks,Ardea,Animalia
ad03acb4_1,1,,,,present,ad03acb4,Western Europe species model Version 1,2021-07-05T11:44:15Z,identificationRemarks,Ardea,Animalia
3b185b03_1,1,,,,present,3b185b03,Western Europe species model Version 1,2021-07-05T11:44:15Z,identificationRemarks,Ardea,Animalia
